record_id,parent_bite_id,take,phase,generated_duration_s,gt_duration_s,duration_error_s,absolute_duration_error_s
trial_0017_bite_014_withdrawal,trial_0017_bite_014,trial_0017,withdrawal,1.07,1.48,-0.4099999999999999,0.4099999999999999
trial_0017_bite_015_transfer,trial_0017_bite_015,trial_0017,transfer,1.39,3.31,-1.9200000000000002,1.9200000000000002
trial_0017_bite_015_withdrawal,trial_0017_bite_015,trial_0017,withdrawal,1.07,0.87,0.20000000000000007,0.20000000000000007
trial_0019_bite_001_transfer,trial_0019_bite_001,trial_0019,transfer,1.48,1.05,0.42999999999999994,0.42999999999999994
trial_0019_bite_001_withdrawal,trial_0019_bite_001,trial_0019,withdrawal,1.05,0.9,0.15000000000000002,0.15000000000000002
trial_0019_bite_002_transfer,trial_0019_bite_002,trial_0019,transfer,1.48,1.23,0.25,0.25
trial_0019_bite_002_withdrawal,trial_0019_bite_002,trial_0019,withdrawal,1.05,1.01,0.040000000000000036,0.040000000000000036
trial_0019_bite_003_transfer,trial_0019_bite_003,trial_0019,transfer,1.48,1.14,0.3400000000000001,0.3400000000000001
trial_0019_bite_003_withdrawal,trial_0019_bite_003,trial_0019,withdrawal,1.05,0.92,0.13,0.13
trial_0019_bite_004_transfer,trial_0019_bite_004,trial_0019,transfer,1.48,1.12,0.3599999999999999,0.3599999999999999
trial_0019_bite_004_withdrawal,trial_0019_bite_004,trial_0019,withdrawal,1.05,0.89,0.16000000000000003,0.16000000000000003
trial_0019_bite_005_transfer,trial_0019_bite_005,trial_0019,transfer,1.48,1.27,0.20999999999999996,0.20999999999999996
trial_0019_bite_005_withdrawal,trial_0019_bite_005,trial_0019,withdrawal,1.05,1.55,-0.5,0.5
trial_0019_bite_006_transfer,trial_0019_bite_006,trial_0019,transfer,1.48,1.09,0.3899999999999999,0.3899999999999999
trial_0019_bite_006_withdrawal,trial_0019_bite_006,trial_0019,withdrawal,1.05,1.15,-0.09999999999999987,0.09999999999999987
trial_0019_bite_007_transfer,trial_0019_bite_007,trial_0019,transfer,1.48,1.18,0.30000000000000004,0.30000000000000004
trial_0019_bite_007_withdrawal,trial_0019_bite_007,trial_0019,withdrawal,1.05,1.07,-0.020000000000000018,0.020000000000000018
trial_0019_bite_008_transfer,trial_0019_bite_008,trial_0019,transfer,1.48,1.35,0.1299999999999999,0.1299999999999999
trial_0019_bite_008_withdrawal,trial_0019_bite_008,trial_0019,withdrawal,1.05,1.12,-0.07000000000000006,0.07000000000000006
trial_0019_bite_009_transfer,trial_0019_bite_009,trial_0019,transfer,1.48,1.32,0.15999999999999992,0.15999999999999992
trial_0019_bite_009_withdrawal,trial_0019_bite_009,trial_0019,withdrawal,1.05,1.07,-0.020000000000000018,0.020000000000000018
trial_0019_bite_010_transfer,trial_0019_bite_010,trial_0019,transfer,1.48,1.36,0.11999999999999988,0.11999999999999988
trial_0019_bite_010_withdrawal,trial_0019_bite_010,trial_0019,withdrawal,1.05,0.98,0.07000000000000006,0.07000000000000006
trial_0019_bite_011_transfer,trial_0019_bite_011,trial_0019,transfer,1.48,1.97,-0.49,0.49
trial_0019_bite_011_withdrawal,trial_0019_bite_011,trial_0019,withdrawal,1.05,1.03,0.020000000000000018,0.020000000000000018
trial_0019_bite_012_transfer,trial_0019_bite_012,trial_0019,transfer,1.48,1.15,0.33000000000000007,0.33000000000000007
trial_0019_bite_012_withdrawal,trial_0019_bite_012,trial_0019,withdrawal,1.05,1.12,-0.07000000000000006,0.07000000000000006
trial_0019_bite_013_transfer,trial_0019_bite_013,trial_0019,transfer,1.48,1.39,0.09000000000000008,0.09000000000000008
trial_0019_bite_013_withdrawal,trial_0019_bite_013,trial_0019,withdrawal,1.05,1.12,-0.07000000000000006,0.07000000000000006
trial_0019_bite_014_transfer,trial_0019_bite_014,trial_0019,transfer,1.48,1.77,-0.29000000000000004,0.29000000000000004
trial_0019_bite_014_withdrawal,trial_0019_bite_014,trial_0019,withdrawal,1.05,1.14,-0.08999999999999986,0.08999999999999986
trial_0019_bite_015_transfer,trial_0019_bite_015,trial_0019,transfer,1.48,1.29,0.18999999999999995,0.18999999999999995
trial_0019_bite_015_withdrawal,trial_0019_bite_015,trial_0019,withdrawal,1.05,1.05,0.0,0.0
trial_0019_bite_016_transfer,trial_0019_bite_016,trial_0019,transfer,1.48,1.5,-0.020000000000000018,0.020000000000000018
trial_0019_bite_016_withdrawal,trial_0019_bite_016,trial_0019,withdrawal,1.05,0.98,0.07000000000000006,0.07000000000000006
trial_0019_bite_017_transfer,trial_0019_bite_017,trial_0019,transfer,1.48,1.34,0.1399999999999999,0.1399999999999999
trial_0019_bite_017_withdrawal,trial_0019_bite_017,trial_0019,withdrawal,1.05,1.05,0.0,0.0
trial_0019_bite_018_transfer,trial_0019_bite_018,trial_0019,transfer,1.48,1.32,0.15999999999999992,0.15999999999999992
trial_0019_bite_018_withdrawal,trial_0019_bite_018,trial_0019,withdrawal,1.05,1.1,-0.050000000000000044,0.050000000000000044
trial_0019_bite_019_transfer,trial_0019_bite_019,trial_0019,transfer,1.48,1.42,0.06000000000000005,0.06000000000000005
trial_0019_bite_019_withdrawal,trial_0019_bite_019,trial_0019,withdrawal,1.05,0.96,0.09000000000000008,0.09000000000000008
trial_0019_bite_020_transfer,trial_0019_bite_020,trial_0019,transfer,1.48,1.84,-0.3600000000000001,0.3600000000000001
